,FIPS,job_creation_rate_1978,job_creation_rate_1979,job_creation_rate_1980,job_creation_rate_1981,job_creation_rate_1982,job_creation_rate_1983,job_creation_rate_1984,job_creation_rate_1985,job_creation_rate_1986,job_creation_rate_1987,job_creation_rate_1988,job_creation_rate_1989,job_creation_rate_1990,job_creation_rate_1991,job_creation_rate_1992,job_creation_rate_1993,job_creation_rate_1994,job_creation_rate_1995,job_creation_rate_1996,job_creation_rate_1997,job_creation_rate_1998,job_creation_rate_1999,job_creation_rate_2000,job_creation_rate_2001,job_creation_rate_2002,job_creation_rate_2003,job_creation_rate_2004,job_creation_rate_2005,job_creation_rate_2006,job_creation_rate_2007,job_creation_rate_2008,job_creation_rate_2009,job_creation_rate_2010,job_creation_rate_2011,job_creation_rate_2012,job_creation_rate_2013,job_creation_rate_2014,job_creation_rate_2015,job_creation_rate_2016,job_creation_rate_2017,job_creation_rate_2018,job_creation_rate_2019
0,01001,28.453,16.674,18.361,13.447,19.445,18.981,21.196,21.135,20.123,20.236,22.268,16.729,16.058,16.952,23.807,12.177,15.848,12.392,14.146,19.84,19.19,25.779,15.822,15.78,16.246,13.473,17.105,15.596,14.75,15.332,17.548,14.45,11.678,13.207,10.769,10.222,11.716,10.709,11.379,12.61,12.809,10.095
1,01003,24.896,32.735,20.7,20.106,22.975,18.391,24.638,23.97,19.523,21.131,21.383,21.749,22.831,18.41,18.107,21.304,23.307,22.856,21.918,20.476,19.09,21.63,22.142,19.154,19.089,21.903,20.402,20.164,20.069,19.941,16.066,13.044,13.331,14.681,15.053,15.225,13.569,14.34,15.096,14.17,15.661,14.231
2,01005,24.453,21.418,14.987,17.679,17.066,13.509,19.418,23.975,17.779,19.241,16.156,18.452,21.71,13.215,12.905,15.08,20.297,15.87,12.532,17.02,24.525,19.425,20.684,13.232,13.791,10.099,12.876,16.443,9.847,8.495,11.23,5.578,8.144,9.684,7.677,6.273,7.368,16.231,7.259,11.414,8.316,8.594
3,01007,20.173,25.598,13.915,12.545,12.945,23.482,21.731,17.277,39.284,13.091,15.603,19.587,17.12,12.07,21.571,16.654,16.996,17.949,10.892,18.253,13.396,9.361,13.175,10.599,13.289,22.697,19.912,12.774,11.739,14.486,17.968,9.584,10.242,10.543,12.381,15.901,14.536,12.293,8.498,10.831,8.951,20.197
4,01009,20.581,30.327,15.995,15.494,16.366,16.256,35.039,20.517,27.459,19.372,22.625,46.357,23.218,16.989,13.606,22.551,19.21,17.951,12.227,19.851,13.756,18.76,15.51,16.584,13.205,12.439,12.902,17.309,13.299,19.756,14.926,10.801,11.442,14.046,13.102,15.452,10.701,11.81,10.438,14.627,10.419,12.867
5,01011,11.125,20.427,11.783,11.535,12.862,12.265,13.729,12.843,15.584,14.53,12.733,14.42,20.151,9.963,14.461,9.296,8.94,26.971,14.598,10.985,15.214,9.02,5.164,6.187,7.494,22.908,11.857,12.145,8.087,10.733,11.404,9.834,13.79,13.116,5.164,12.974,3.415,11.078,5.607,5.381,9.745,7.639
6,01013,21.089,21.498,12.651,26.957,18.682,18.133,18.591,16.24,16.683,21.221,10.469,25.632,11.94,22.51,13.826,12.18,19.602,19.795,12.324,16.966,11.764,13.595,12.777,17.316,14.024,18.412,14.065,17.305,18.525,9.692,16.726,9.367,12.182,11.303,18.633,12.246,9.224,10.555,9.072,8.202,13.783,9.85
7,01015,20.992,19.06,16.121,22.733,17.443,15.393,17.85,15.009,23.337,16.818,15.914,18.602,14.914,13.278,14.714,15.41,16.761,16.88,15.535,16.614,15.648,13.93,14.471,12.538,12.397,13.919,13.499,12.615,13.247,15.031,12.006,9.221,9.414,10.32,9.496,11.91,11.77,11.369,9.495,12.628,12.062,10.556
8,01017,8.828,14.291,12.165,7.191,4.973,12.424,10.923,12.87,18.143,8.454,10.859,14.121,10.884,14.971,7.521,15.541,15.02,12.055,7.427,13.672,12.211,9.751,9.193,9.877,6.793,7.245,9.476,13.708,11.319,8.971,13.083,12.891,13.453,14.477,14.761,10.918,8.031,13.696,14.891,13.338,12.559,13.596
9,01019,14.351,13.428,16.822,20.364,19.501,14.527,15.335,15.231,15.07,22.604,23.823,16.227,15.165,12.962,17.858,15.969,14.752,22.009,20.641,12.621,11.865,8.535,23.753,14.864,13.781,20.435,17.043,14.943,13.405,13.056,10.788,7.356,10.214,13.459,11.215,14.384,9.796,12.53,10.176,25.747,9.898,11.644
10,01021,20.649,16.539,15.21,15.482,23.871,17.267,29.27,16.729,19.833,13.559,16.792,25.484,15.919,18.464,17.317,19.211,16.589,21.795,17.9,15.176,17.688,17.671,16.397,18.995,15.518,16.826,17.009,15.89,16.5,13.402,12.075,11.295,9.348,12.807,14.181,19.004,9.928,12.792,9.907,11.196,10.709,11.504
11,01023,15.631,12.762,8.901,44.738,14.365,14.705,11.534,10.745,17.047,10.538,12.516,44.023,5.309,8.454,12.746,7.723,12.033,9.013,6.658,13.166,11.25,17.221,55.917,11.104,14.361,7.784,11.805,11.194,12.904,9.0,7.639,12.699,7.802,6.646,10.835,7.46,6.872,7.394,9.822,6.071,12.033,11.384
12,01025,20.831,13.125,11.763,9.609,14.228,16.132,15.233,16.754,20.031,17.866,16.739,17.278,15.642,11.766,11.983,11.097,21.539,17.001,13.241,17.545,10.435,11.584,15.43,14.401,15.146,13.784,14.208,16.256,12.137,10.66,14.167,10.119,16.018,11.568,11.754,11.411,12.43,11.672,9.781,9.967,9.363,9.288
13,01027,16.697,14.708,17.721,6.783,6.145,19.191,18.017,13.911,10.039,14.404,9.237,37.437,15.832,15.805,19.073,11.031,10.574,14.586,7.869,7.154,7.77,5.886,11.183,7.678,16.999,6.998,11.678,14.733,11.688,21.618,6.79,6.51,8.381,6.514,5.273,12.842,10.121,5.448,11.354,8.641,11.174,6.459
14,01029,16.144,20.403,11.782,10.839,12.345,14.919,16.676,17.022,25.625,23.425,11.399,19.942,23.724,13.161,15.428,8.884,17.393,11.862,15.686,7.689,8.933,11.582,9.881,10.859,12.613,12.99,12.159,9.104,10.245,11.166,31.98,8.742,9.403,11.244,13.587,8.071,20.036,9.601,7.648,10.65,13.365,14.191
15,01031,23.271,20.904,10.35,14.732,20.226,12.963,22.668,16.13,18.55,13.643,18.333,29.692,11.596,12.614,16.26,19.202,15.522,16.033,11.239,14.174,12.045,12.677,10.533,12.78,16.128,15.998,16.831,21.743,17.263,14.687,10.579,14.06,9.386,8.162,9.827,11.191,9.721,15.947,7.996,13.16,9.119,12.908
16,01033,18.315,15.849,12.649,12.176,13.341,13.71,23.699,18.289,18.812,15.727,19.765,18.677,15.059,14.288,18.962,13.299,15.028,13.903,28.062,15.97,20.306,13.225,14.742,13.907,13.349,14.02,15.387,15.508,12.714,16.25,13.443,14.639,9.18,10.756,13.13,16.642,10.527,15.342,13.692,11.096,9.818,10.367
17,01035,25.416,20.205,14.072,21.007,11.921,97.798,5.59,7.19,20.054,14.289,18.688,22.709,27.759,14.842,18.426,22.43,18.189,17.253,15.218,11.335,9.852,11.031,22.339,9.987,9.505,10.327,8.447,20.056,8.702,10.157,10.274,4.989,17.378,11.325,11.388,12.338,17.596,15.646,8.212,14.205,12.037,8.48
