year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,3557994,4310626,69410001,66810001,654226,15.477,487202,11.526,14665544,5185178,9480366,7.761,21.951,9469007,4048046,5420961,6.059,14.173,5196537,7.778,28.346,327278,332504,1824251
1979,3692077,4472108,73848234,71727111,630253,14.338,477537,10.864,14052091,4872502,9179589,6.793,19.591,9803834,3760616,6043218,5.243,13.668,4248257,5.923,27.336,328024,332633,1785478
1980,3739809,4533251,74109267,74018218,592484,13.157,532203,11.819,12232270,4679285,7552985,6.322,16.526,12043333,4246135,7797198,5.737,16.271,188937,0.255,32.542,368578,373754,1941422
1981,3770852,4615479,75728652,74924061,606853,13.27,522047,11.416,12870346,5377719,7492627,7.178,17.178,11261242,3478843,7782399,4.643,15.03,1609104,2.148,30.06,377291,383748,2005707
1982,3720273,4598769,74922226,75267274,572030,12.415,589368,12.792,12060644,4475230,7585414,5.946,16.024,12738994,4055239,8683755,5.388,16.925,-678350,-0.901,32.048,412488,418501,2211944
1983,3829596,4713538,74178554,74543555,621854,13.355,507458,10.898,12575609,4816380,7759229,6.461,16.87,13319149,4287937,9031212,5.752,17.868,-743540,-0.997,33.74,339835,346939,2019483
1984,3995130,4901974,78852674,76437810,697561,14.506,510944,10.625,15170847,5529421,9641426,7.234,19.847,10331992,3776185,6555807,4.94,13.517,4838855,6.33,27.034,363791,370206,2063354
1985,4075376,4994432,82083426,80517694,696060,14.068,603187,12.191,15390493,5687600,9702893,7.064,19.114,12265260,5039886,7225374,6.259,15.233,3125233,3.881,30.466,429968,439030,2813946
1986,4160446,5122726,84216459,83101473,720034,14.236,590115,11.668,15417145,6006616,9410529,7.228,18.552,13180098,4699870,8480228,5.656,15.86,2237047,2.692,31.72,414585,422505,2549699
1987,4225437,5225170,86068802,85563250,742143,14.345,638702,12.346,16512651,6708713,9803938,7.841,19.299,15496361,5689930,9806431,6.65,18.111,1016290,1.188,36.222,436076,444717,2842323
