state,county,geoid,name,availability
01,000,01000,Alabama,2
02,000,02000,Alaska,2
04,000,04000,Arizona,2
05,000,05000,Arkansas,2
06,000,06000,California,2
08,000,08000,Colorado,2
09,000,09000,Connecticut,2
10,000,10000,Delaware,2
11,000,11000,District of Columbia,2
12,000,12000,Florida,2
13,000,13000,Georgia,2
15,000,15000,Hawaii,2
16,000,16000,Idaho,2
17,000,17000,Illinois,2
18,000,18000,Indiana,2
19,000,19000,Iowa,2
20,000,20000,Kansas,2
21,000,21000,Kentucky,2
22,000,22000,Louisiana,2
23,000,23000,Maine,2
24,000,24000,Maryland,2
25,000,25000,Massachusetts,2
26,000,26000,Michigan,2
27,000,27000,Minnesota,2
28,000,28000,Mississippi,2
29,000,29000,Missouri,2
30,000,30000,Montana,2
31,000,31000,Nebraska,2
32,000,32000,Nevada,2
33,000,33000,New Hampshire,2
34,000,34000,New Jersey,2
35,000,35000,New Mexico,2
36,000,36000,New York,2
37,000,37000,North Carolina,2
38,000,38000,North Dakota,2
39,000,39000,Ohio,2
40,000,40000,Oklahoma,2
41,000,41000,Oregon,2
42,000,42000,Pennsylvania,2
44,000,44000,Rhode Island,2
45,000,45000,South Carolina,2
46,000,46000,South Dakota,2
47,000,47000,Tennessee,2
48,000,48000,Texas,2
49,000,49000,Utah,2
50,000,50000,Vermont,2
51,000,51000,Virginia,2
53,000,53000,Washington,2
54,000,54000,West Virginia,2
55,000,55000,Wisconsin,2
56,000,56000,Wyoming,2
01,001,01001,"Autauga, AL",1
01,003,01003,"Baldwin, AL",1
01,005,01005,"Barbour, AL",1
01,007,01007,"Bibb, AL",1
01,009,01009,"Blount, AL",1
01,011,01011,"Bullock, AL",1
01,013,01013,"Butler, AL",1
01,015,01015,"Calhoun, AL",1
01,017,01017,"Chambers, AL",1
01,019,01019,"Cherokee, AL",1
01,021,01021,"Chilton, AL",1
01,023,01023,"Choctaw, AL",1
01,025,01025,"Clarke, AL",1
01,027,01027,"Clay, AL",1
01,029,01029,"Cleburne, AL",1
01,031,01031,"Coffee, AL",1
01,033,01033,"Colbert, AL",1
01,035,01035,"Conecuh, AL",1
01,037,01037,"Coosa, AL",1
01,039,01039,"Covington, AL",1
